,language_iso,language_name
0,en,English
1,de,German
2,ja,Japanese
3,da,Danish
4,sl,Slovenian
5,cy,Welsh
6,pt,Portuguese
7,id,Indonesian
8,af,Afrikaans
9,nl,Dutch
10,ko,Korean
11,sv,Swedish
12,tl,Tagalog
13,hu,Hungarian
14,no,Norwegian
15,fr,French
16,so,Somali
17,sq,Albanian
18,fi,Finnish
19,it,Italian
20,es,Spanish
21,tr,Turkish
22,ro,Romanian
23,et,Estonian
24,sk,Slovak
25,sw,Swahili (macrolanguage)
26,lv,Latvian
27,cs,Czech
28,pl,Polish
29,lt,Lithuanian
30,ca,Catalan
31,hr,Croatian
32,zh,Chinese
33,mk,Macedonian
34,vi,Vietnamese
35,ar,Arabic
36,ru,Russian
37,hi,Hindi
38,ms,Malay (macrolanguage)
39,th,Thai
40,nn,Norwegian Nynorsk
41,gl,Galician
42,ug,Uighur
43,ia,Interlingua (International Auxiliary Language Association)
44,co,Corsican
45,ur,Urdu
46,fa,Persian
47,eu,Basque
48,tt,Tatar
49,el,Modern Greek (1453-)
50,ta,Tamil
51,bg,Bulgarian
52,zu,Zulu
53,xh,Xhosa
54,st,Southern Sotho
55,sn,Shona
56,tn,Tswana
57,gn,Guarani
58,sm,Samoan
59,rn,Rundi
60,ig,Igbo
61,br,Breton
62,he,Hebrew
63,is,Icelandic
64,ne,Nepali (macrolanguage)
65,sr,Serbian
66,ln,Lingala
67,la,Latin
68,mi,Maori
69,ht,Haitian
70,az,Azerbaijani
71,qu,Quechua
72,uk,Ukrainian
73,am,Amharic
