,0
0,adult standards
1,merseybeat
2,british invasion
3,brill building pop
4,rockabilly
5,easy listening
6,lounge
7,canadian blues
8,singer-songwriter
9,lilith
10,folk
11,rock
12,mellow gold
13,jazz
14,swing
15,big band
16,stride
17,contemporary post-bop
18,hard bop
19,electric blues
20,soul
21,motown
22,sunshine pop
23,beatlesque
24,cabaret
25,freakbeat
26,experimental
27,german romanticism
28,late romantic era
29,classical
30,french orchestra
31,rhythm and blues
32,funk
33,nashville sound
34,pop
35,boy band
36,nu metal
37,hip hop
38,rap
39,ancient mediterranean
40,glam metal
41,urban contemporary
42,hyphy
43,wrestling
44,eurodance
45,new romantic
46,zolo
47,new wave
48,post-punk
49,miami indie
50,edm
51,brostep
52,bassline
53,country road
54,country
55,roots reggae
56,reggae
57,ska
58,dub
59,norteno
60,ranchera
61,grupera
62,banda
63,regional mexican
64,middle earth
65,celtic
66,latin
67,r&b
68,neo mellow
69,corrido
70,mpb
71,punk
72,madchester
73,tropical
74,salsa
75,sacramento indie
76,spanish metal
77,quiet storm
78,early romantic era
79,supergroup
80,bolero
81,afrofuturism
82,bubblegum dance
83,oxford indie
84,melancholia
85,son cubano
86,slowcore
87,girl group
88,gospel
89,groove metal
90,industrial metal
91,comic
92,stockholm indie
93,neo-psychedelic
94,industrial
95,wu fam
96,gothenburg metal
97,swedish metal
98,melodic death metal
99,metal
100,riddim
101,dancehall
102,soca
103,electronica
104,trip hop
105,downtempo
106,sertanejo
107,pagode
108,axe
109,bachata
110,merengue
111,mandolin
112,bluegrass
113,children's music
114,chicago house
115,garage house
116,tribal house
117,vocal house
118,classic house
119,hip house
120,deep house
121,diva house
122,tech house
123,house
124,british orchestra
125,chamber orchestra
126,shoegaze
127,nu gaze
128,nu skool breaks
129,big beat
130,cumbia villera
131,cumbia santafesina
132,bmore
133,bossa nova
134,partido alto
135,samba
136,christian music
137,worship
138,ccm
139,klezmer
140,judaica
141,jewish cantorial
142,indonesian indie
143,techno
144,vallenato
145,chanson
146,blues
147,tejano
148,leipzig electronic
149,mariachi
150,disco
151,papuri
152,opm
153,australian dance
154,crunk
155,minneapolis sound
156,cuarteto
157,stomp and holler
158,new americana
159,frankfurt electronic
160,dusseldorf electronic
161,groove room
162,arab electronic
163,electra
164,organic electronic
165,hamburg electronic
166,cymraeg
167,turntablism
168,oyun havasi
169,baglama
170,bozlak
171,cumbia
172,freestyle
173,chunchaca
174,nwobhm
175,scottish indie
176,cantautor
177,karadeniz turkuleri
178,musica aragonesa
179,shanty
180,italian romanticism
181,violin
182,rif
183,belly dance
184,schlager
185,volksmusik
186,lo-fi
187,new jersey indie
188,manguebeat
189,brazilian indie
190,nova musica pernambucana
191,modern bollywood
192,classic bollywood
193,chutney
194,sufi
195,filmi
196,redneck
197,uk garage
198,speed garage
199,belgian dance
200,double drumming
201,washington indie
202,screamo
203,emo
204,new age
205,musica tradicional cubana
206,scratch
207,montreal indie
208,ninja
209,old school thrash
210,rumba
211,flamenco
212,jam band
213,escape room
214,string quartet
215,scorecore
216,electro
217,orchestra
218,piano cover
219,opera
220,operetta
221,italo dance
222,world
223,portland indie
224,albuquerque indie
225,hawaiian
226,korean instrumental
227,indiecoustica
228,brooklyn indie
229,connecticut indie
230,neue deutsche harte
231,easycore
232,jungle
233,parody
234,norwegian indie
235,italian modern prog
236,neo-progressive
237,crossover prog
238,hollywood
239,indian indie
240,chicha
241,lowlands hardcore
242,intelligent dance music
243,braindance
244,ambient
245,nueva cancion
246,video game music
247,anime
248,mexican indie
249,wave
250,grunge
251,trova
252,epicore
253,arabesk
254,musica juiz-forana
255,alabama indie
256,zhongguo feng
257,boogaloo
258,meditation
259,healing
260,musica de fondo
261,trance
262,red dirt
263,champeta
264,christian indie
265,bakersfield sound
266,adoracao
267,disney
268,movie tunes
269,folclore salteno
270,melodic thrash
271,progressive breaks
272,kent indie
273,palm desert scene
274,lullaby
275,chicago indie
276,baroque
277,early music
278,post-hardcore
279,happy hardcore
280,veracruz indie
281,musica maranhense
282,turkish alternative
283,austindie
284,uk pop
285,brazilian dnb
286,schranz
287,melodic metal
288,musica costena
289,western americana
290,torch song
291,indie extremena
292,big room
293,grime
294,broken beat
295,francoton
296,french romanticism
297,cello
298,kirtan
299,dreamo
300,philly indie
301,hardcore
302,nyhc
303,straight edge
304,belgian indie
305,zouglou
306,epic doom
307,progressive doom
308,australian psych
309,orgcore
310,psychill
311,levenslied
312,gabba
313,speedcore
314,frenchcore
315,impressionism
316,post-romantic era
317,show tunes
318,microtonal
319,avant-garde
320,funeral doom
321,atmospheric doom
322,north dakota indie
323,trot
324,danseband
325,barbershop
326,a cappella
327,liedermacher
328,livetronica
329,hands up
330,jumpstyle
331,ebm
332,aggrotech
333,dark clubbing
334,choral
335,morelos indie
336,jamgrass
337,chilean indie
338,gothenburg indie
339,indietronica
340,seattle indie
341,forest psy
342,otacore
343,canterbury scene
344,new weird america
345,power noise
346,skiffle
347,perreo
348,bhangra
349,swedish americana
350,calming instrumental
351,classify
352,thrash core
353,german indie
354,oi
355,music hall
356,chillhop
357,shamanic
